*******************************************************************************
 Revised: January 26, 2022             Saturn                               699
 
 PHYSICAL DATA:
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931206.234    GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Apr 14 10:13:40 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2025-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2032-Jan-01 00:00:00.0000 UT      
Step-size       : 14400 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {West-longitude positive}
Target radii    : 60268.0, 60268.0, 54364.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260413.p260710                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-13. PREDICTS-> 2026-JUL-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,    ObsEcLon,   ObsEcLat,
************************************************
$$SOE
 2025-Jan-01 00:00, , , 344.5240525, -1.9775609,
 2025-Jan-11 00:00, , , 345.3443176, -1.9568281,
 2025-Jan-21 00:00, , , 346.2806287, -1.9395864,
 2025-Jan-31 00:00, , , 347.3152665, -1.9261466,
 2025-Feb-10 00:00, , , 348.4284228, -1.9167860,
 2025-Feb-20 00:00, , , 349.5997906, -1.9117346,
 2025-Mar-02 00:00, , , 350.8112480, -1.9110513,
 2025-Mar-12 00:00, , , 352.0426000, -1.9149146,
 2025-Mar-22 00:00, , , 353.2744924, -1.9231987,
 2025-Apr-01 00:00, , , 354.4895257, -1.9360119,
 2025-Apr-11 00:00, , , 355.6684585, -1.9533451,
 2025-Apr-21 00:00, , , 356.7937655, -1.9750880,
 2025-May-01 00:00, , , 357.8484331, -2.0010965,
 2025-May-11 00:00, , , 358.8144756, -2.0312769,
 2025-May-21 00:00, , , 359.6765966, -2.0653086,
 2025-May-31 00:00, , ,   0.4188580, -2.1028746,
 2025-Jun-10 00:00, , ,   1.0259034, -2.1435644,
 2025-Jun-20 00:00, , ,   1.4863631, -2.1866891,
 2025-Jun-30 00:00, , ,   1.7889515, -2.2315578,
 2025-Jul-10 00:00, , ,   1.9258965, -2.2772004,
 2025-Jul-20 00:00, , ,   1.8951198, -2.3224050,
 2025-Jul-30 00:00, , ,   1.6977086, -2.3659566,
 2025-Aug-09 00:00, , ,   1.3424963, -2.4063109,
 2025-Aug-19 00:00, , ,   0.8451957, -2.4419433,
 2025-Aug-29 00:00, , ,   0.2276005, -2.4714752,
 2025-Sep-08 00:00, , , 359.5210688, -2.4934932,
 2025-Sep-18 00:00, , , 358.7609894, -2.5070997,
 2025-Sep-28 00:00, , , 357.9865542, -2.5117896,
 2025-Oct-08 00:00, , , 357.2408340, -2.5074297,
 2025-Oct-18 00:00, , , 356.5630230, -2.4946400,
 2025-Oct-28 00:00, , , 355.9892776, -2.4743240,
 2025-Nov-07 00:00, , , 355.5506155, -2.4477394,
 2025-Nov-17 00:00, , , 355.2686073, -2.4165316,
 2025-Nov-27 00:00, , , 355.1587623, -2.3821897,
 2025-Dec-07 00:00, , , 355.2279194, -2.3462931,
 2025-Dec-17 00:00, , , 355.4750222, -2.3103352,
 2025-Dec-27 00:00, , , 355.8954480, -2.2754357,
 2026-Jan-06 00:00, , , 356.4778373, -2.2427196,
 2026-Jan-16 00:00, , , 357.2073696, -2.2130116,
 2026-Jan-26 00:00, , , 358.0685540, -2.1868702,
 2026-Feb-05 00:00, , , 359.0423341, -2.1649019,
 2026-Feb-15 00:00, , ,   0.1095289, -2.1473776,
 2026-Feb-25 00:00, , ,   1.2511002, -2.1345175,
 2026-Mar-07 00:00, , ,   2.4466384, -2.1265904,
 2026-Mar-17 00:00, , ,   3.6774846, -2.1235706,
 2026-Mar-27 00:00, , ,   4.9243963, -2.1255840,
 2026-Apr-06 00:00, , ,   6.1679053, -2.1325869,
 2026-Apr-16 00:00, , ,   7.3908698, -2.1445318,
 2026-Apr-26 00:00, , ,   8.5748925, -2.1614372,
 2026-May-06 00:00, , ,   9.7016806, -2.1831682,
 2026-May-16 00:00, , ,  10.7551027, -2.2095003,
